                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2229,                 1.6353,                 1.2374,                0.95308,                0.90502,                0.94767,                0.53078,                  1.437,                0.89227,                 1.3017,              0.0033308,              0.0033308,              0.0033308
                      2,                  1.224,                0.86301,                 1.2029,                0.95458,                0.90683,                 0.9485,                0.55677,                 1.3717,                0.76987,                 1.2779,              0.0065982,              0.0065982,              0.0065982
                      3,                 1.2755,                0.82974,                 1.2538,                0.93801,                0.88714,                0.92902,                0.54906,                 1.4196,                0.83027,                 1.3362,              0.0097995,              0.0097995,              0.0097995
                      4,                 1.2788,                0.80811,                 1.2809,                0.94521,                0.92026,                0.95063,                0.57708,                   1.39,                0.63207,                 1.3204,               0.009703,               0.009703,               0.009703
                      5,                 1.2468,                0.75005,                 1.2616,                0.96278,                  0.922,                0.95628,                0.62629,                 1.2538,                0.60093,                 1.2551,               0.009604,               0.009604,               0.009604
                      6,                 1.2155,                0.70702,                 1.2403,                0.96123,                0.89869,                0.95489,                0.60448,                 1.3378,                0.62364,                 1.2811,               0.009505,               0.009505,               0.009505
                      7,                 1.1969,                0.67997,                 1.2324,                0.95982,                0.91865,                0.95737,                0.62686,                 1.2579,                0.55524,                 1.2418,               0.009406,               0.009406,               0.009406
                      8,                 1.1879,                0.65987,                 1.2272,                0.96649,                0.93354,                0.96752,                0.64606,                 1.2294,                0.54489,                 1.2165,               0.009307,               0.009307,               0.009307
                      9,                 1.1745,                0.64314,                 1.2176,                0.96557,                0.93762,                0.96827,                0.64992,                 1.2047,                0.51717,                 1.2013,               0.009208,               0.009208,               0.009208
                     10,                 1.1582,                0.62299,                 1.2082,                0.97077,                0.93464,                0.96914,                0.65917,                 1.2096,                0.51543,                 1.2159,               0.009109,               0.009109,               0.009109
                     11,                 1.1508,                0.60909,                 1.1999,                0.96303,                0.93856,                0.96491,                0.64315,                 1.2434,                0.51904,                 1.2355,                0.00901,                0.00901,                0.00901
                     12,                 1.1426,                0.60644,                 1.1972,                0.97479,                 0.9429,                0.97099,                0.63808,                 1.2543,                0.49228,                 1.2354,               0.008911,               0.008911,               0.008911
                     13,                  1.132,                0.59766,                 1.1899,                0.97669,                0.93668,                0.97333,                0.65819,                 1.2003,                0.48614,                 1.2099,               0.008812,               0.008812,               0.008812
                     14,                 1.1281,                0.58745,                 1.1826,                0.96324,                0.94643,                0.97431,                0.67702,                 1.1638,                0.46715,                 1.1795,               0.008713,               0.008713,               0.008713
                     15,                 1.1226,                0.58521,                 1.1839,                0.97726,                 0.9348,                0.97149,                0.67393,                 1.1635,                0.46205,                 1.1834,               0.008614,               0.008614,               0.008614
                     16,                 1.1139,                0.57294,                 1.1761,                0.97354,                0.94418,                0.97468,                0.67507,                 1.1498,                 0.4571,                 1.1748,               0.008515,               0.008515,               0.008515
                     17,                  1.105,                0.56533,                 1.1694,                0.97987,                0.94465,                0.97777,                0.68039,                 1.1492,                0.44568,                 1.1647,               0.008416,               0.008416,               0.008416
                     18,                    1.1,                0.55598,                 1.1648,                0.97694,                  0.947,                0.97608,                0.68082,                 1.1527,                0.44646,                 1.1711,               0.008317,               0.008317,               0.008317
                     19,                  1.104,                0.55726,                 1.1702,                0.97253,                0.94655,                 0.9789,                0.68848,                 1.1356,                0.44187,                 1.1605,               0.008218,               0.008218,               0.008218
                     20,                 1.0889,                 0.5503,                  1.163,                0.97632,                0.94559,                0.97776,                0.68462,                 1.1457,                0.42698,                 1.1643,               0.008119,               0.008119,               0.008119
                     21,                 1.0844,                0.54387,                 1.1617,                0.97981,                0.94934,                0.97997,                0.69339,                 1.1229,                0.42399,                 1.1533,                0.00802,                0.00802,                0.00802
                     22,                 1.0842,                0.54006,                 1.1593,                0.97643,                0.95075,                0.97931,                0.69336,                 1.1186,                0.41656,                 1.1508,               0.007921,               0.007921,               0.007921
                     23,                 1.0823,                 0.5357,                 1.1581,                0.97589,                0.94944,                0.97929,                0.69078,                 1.1194,                0.41933,                 1.1473,               0.007822,               0.007822,               0.007822
                     24,                 1.0746,                0.53346,                  1.151,                0.97364,                0.95276,                0.97807,                 0.6917,                 1.1207,                0.41162,                 1.1484,               0.007723,               0.007723,               0.007723
                     25,                   1.07,                0.52659,                 1.1494,                0.98023,                0.95332,                 0.9783,                0.69301,                 1.1278,                0.40971,                 1.1557,               0.007624,               0.007624,               0.007624
                     26,                 1.0632,                0.52043,                 1.1431,                0.98288,                0.95263,                0.98009,                0.69972,                 1.1103,                 0.4024,                 1.1462,               0.007525,               0.007525,               0.007525
                     27,                 1.0698,                0.52199,                 1.1492,                0.98595,                0.95451,                0.98209,                0.70026,                 1.1159,                0.40507,                 1.1433,               0.007426,               0.007426,               0.007426
                     28,                 1.0558,                0.51571,                 1.1409,                0.97896,                0.96037,                0.98228,                0.70347,                 1.1096,                0.39769,                 1.1451,               0.007327,               0.007327,               0.007327
                     29,                 1.0617,                0.51637,                 1.1419,                0.97621,                0.96217,                0.98338,                0.70326,                 1.1061,                0.39844,                  1.144,               0.007228,               0.007228,               0.007228
                     30,                 1.0574,                0.51083,                 1.1403,                0.98172,                 0.9545,                0.98189,                0.70324,                 1.1081,                0.39729,                 1.1428,               0.007129,               0.007129,               0.007129
